episode,mean_dist,total_dv,collisions_avoided,slot_drift
0,3747.250816005259,0.09664142900146544,1,11484.234527938692
1,3736.1752331838193,0.09562203218229115,1,11507.286078613966
2,3733.3823087564115,0.12512715114280581,1,11530.149213607521
3,3736.486707223329,0.09736647829413414,1,11480.734067877982
4,3722.2650982563396,0.1231689730193466,1,11513.954786818456
5,3701.837621378941,0.09191831084899604,1,11502.305325883817
6,3713.350303606154,0.11327916313894093,1,11461.093390994543
7,3716.4814510492297,0.11341107706539333,1,11473.89996577072
8,3756.87897716206,0.09802946797572076,1,11538.667711787266
9,3742.330124628067,0.1011441694572568,1,11499.307087915566
10,3769.2395789878606,0.10464375372976065,1,11621.910698937892
11,3736.0319559618893,0.1010364021640271,1,11617.65975212596
12,3697.9318161446054,0.11003232840448618,1,11481.493607401337
13,3715.285150632799,0.09996400121599436,1,11603.416683489766
14,3712.7652785970326,0.10233920929022133,1,11554.006475976832
15,3692.991579087518,0.0964818219654262,1,11476.392667153264
16,3700.9406451698833,0.1087006067391485,1,11527.368588221814
17,3758.3308934855363,0.10049214633181691,1,11616.834963315994
18,3740.4971942515726,0.10239740088582039,1,11596.73592892495
19,3736.4757315293273,0.10168056329712272,1,11541.157918371151
20,3754.000479361165,0.09892517630942166,1,11517.2972050784
21,3750.7294994134622,0.11124671902507544,1,11612.581071016435
22,3746.288148221832,0.10479641379788518,1,11574.62113739422
23,3757.378119670293,0.10338226449675858,1,11568.74131575963
24,3711.7678852153526,0.09341342258267105,1,11492.105733479568
25,3740.709340792775,0.09731214423663914,1,11578.918336182385
26,3723.6607194039257,0.11167787318117917,1,11504.048886137936
27,3734.2758067574255,0.10745991743169725,1,11547.349887409046
28,3751.5327243805527,0.10045131202787161,1,11579.414653697348
29,3742.595166773352,0.09666594350710511,1,11485.279953618126
30,3721.0488201489156,0.11478636786341667,1,11480.83975016845
31,3752.0828672553644,0.108633226249367,1,11538.766484119045
32,3726.098378723648,0.12085306271910667,1,11524.760173211307
33,3731.8154161904886,0.10144993709400296,1,11554.865350014286
34,3745.2165044534745,0.10608261683955789,1,11533.53566224963
35,3743.245365983368,0.11112691694870591,1,11501.897177064366
36,3740.0674465971333,0.09730819263495505,1,11517.847604297729
37,3746.349244880825,0.1136273113079369,1,11581.379207075164
38,3725.7663673512748,0.09726995858363807,1,11523.745954472388
39,3750.186630454854,0.10878466325812042,1,11595.629238463514
40,3764.363932047749,0.10472152149304748,1,11622.565688446848
